Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,CLV_range,CLV_scaled
GV35061,Oregon,22523.7063,No,Basic,High School or Below,1/8/2011,Employed,M,69346,Urban,Married,63,27,42,1,2,Special Auto,Special L3,Offer2,Branch,246.284609,Two-Door Car,Medsize,1,3.37033207503107
CH97539,Washington,8286.964420999999,No,Basic,Bachelor,2/22/2011,Employed,F,40001,Rural,Divorced,70,26,7,0,2,Personal Auto,Personal L3,Offer1,Branch,142.56700800000002,Four-Door Car,Medsize,0,0.5045944021516433
SA25987,Washington,3479.137523,No,Premium,High School or Below,1/29/2011,Unemployed,M,0,Suburban,Single,104,13,29,0,1,Personal Auto,Personal L2,Offer3,Branch,499.2,Two-Door Car,Medsize,0,-0.46318114532842386
LE85123,Oregon,19237.77089,No,Basic,Bachelor,1/2/2011,Employed,M,35624,Urban,Single,66,6,55,2,2,Personal Auto,Personal L1,Offer1,Call Center,227.44626,Four-Door Car,Medsize,1,2.708900620059229
TH84309,California,9372.843639,No,Extended,High School or Below,2/22/2011,Unemployed,M,0,Suburban,Married,126,19,17,0,4,Personal Auto,Personal L3,Offer3,Branch,604.8,SUV,Medsize,0,0.7231728528721416
PL18921,Oregon,11981.98481,Yes,Basic,Master,1/20/2011,Retired,F,21514,Urban,Married,62,0,59,0,2,Personal Auto,Personal L2,Offer1,Agent,257.248789,Two-Door Car,Medsize,0,1.2483712593013967
BS77946,Arizona,9753.307106,No,Extended,Bachelor,2/24/2011,Medical Leave,F,17514,Rural,Married,127,2,5,0,3,Personal Auto,Personal L1,Offer1,Branch,8.312729,SUV,Medsize,0,0.7997569828509595
HR48520,Oregon,3915.798108,No,Basic,Bachelor,1/24/2011,Unemployed,M,0,Suburban,Single,109,2,86,0,1,Personal Auto,Personal L2,Offer1,Call Center,784.8,SUV,Large,0,-0.37528500312598023
MT53449,Arizona,16301.9676,Yes,Extended,Master,2/17/2011,Retired,F,19614,Suburban,Married,85,21,32,0,2,Personal Auto,Personal L3,Offer2,Agent,574.024018,Two-Door Car,Medsize,0,2.117947847309561
BK83393,California,32317.03275,No,Basic,Bachelor,2/11/2011,Employed,F,55475,Urban,Divorced,116,18,75,0,2,Personal Auto,Personal L3,Offer1,Agent,412.471,SUV,Medsize,1,5.341647196784392
SP81997,Washington,7752.9332810000005,No,Extended,Master,2/11/2011,Employed,F,41275,Rural,Married,96,29,16,0,3,Personal Auto,Personal L3,Offer3,Branch,41.122303,Four-Door Car,Large,0,0.3970983774715753
CE21829,Oregon,10856.176379999999,No,Extended,College,1/30/2011,Employed,M,37233,Rural,Divorced,136,29,91,0,5,Personal Auto,Personal L3,Offer1,Call Center,242.545602,SUV,Small,0,1.021755390465903
PF24757,Arizona,6521.368813,Yes,Extended,College,1/9/2011,Employed,F,72608,Suburban,Married,82,26,19,3,8,Personal Auto,Personal L1,Offer2,Agent,393.6,Four-Door Car,Medsize,0,0.1491946982081838
EC71857,Washington,2432.958093,No,Basic,Doctor,1/8/2011,Employed,F,28519,Rural,Married,61,9,94,0,1,Personal Auto,Personal L2,Offer2,Agent,111.865326,Four-Door Car,Medsize,0,-0.6737683590760338
BE25221,Arizona,6182.618843,No,Extended,High School or Below,2/7/2011,Medical Leave,M,20072,Suburban,Married,82,35,51,0,9,Corporate Auto,Corporate L3,Offer1,Agent,473.266879,Four-Door Car,Medsize,0,0.08100714806739537
UO32521,California,2195.911185,No,Basic,High School or Below,1/16/2011,Unemployed,F,0,Suburban,Single,63,27,47,0,1,Corporate Auto,Corporate L3,Offer2,Branch,617.201984,Two-Door Car,Small,0,-0.7214839291319334
YC63458,California,5893.368906000001,No,Basic,Bachelor,1/22/2011,Employed,F,86498,Rural,Married,74,13,13,1,5,Personal Auto,Personal L2,Offer3,Agent,8.529778,Two-Door Car,Medsize,0,0.022783542667792315
IC22580,California,11533.967059999999,No,Extended,College,2/13/2011,Employed,M,85339,Urban,Married,95,6,43,0,2,Personal Auto,Personal L1,Offer3,Agent,392.7457,Four-Door Car,Small,0,1.1581890142901623
YY27420,Arizona,10507.694959999999,No,Extended,Bachelor,2/1/2011,Medical Leave,M,20043,Suburban,Married,92,13,9,0,2,Personal Auto,Personal L1,Offer3,Agent,516.0885440000001,Four-Door Car,Medsize,0,0.9516089804178574
YQ99152,Nevada,9787.808819,No,Extended,High School or Below,1/7/2011,Retired,M,10475,Suburban,Married,88,13,81,1,2,Personal Auto,Personal L2,Offer1,Branch,422.4,Two-Door Car,Small,0,0.8067018905807833
BS13062,Arizona,25755.278169999998,No,Extended,High School or Below,1/21/2011,Unemployed,F,0,Suburban,Married,81,3,60,2,2,Personal Auto,Personal L2,Offer4,Call Center,388.8,Four-Door Car,Small,1,4.020820601773038
DB93245,Arizona,2853.600347,No,Basic,Doctor,1/19/2011,Employed,F,87455,Urban,Divorced,71,10,46,0,1,Corporate Auto,Corporate L3,Offer2,Call Center,329.238904,Four-Door Car,Medsize,0,-0.5890965736114941
XN32623,Oregon,5638.150224,No,Basic,Bachelor,2/21/2011,Employed,M,85896,Rural,Married,70,28,27,0,3,Personal Auto,Personal L3,Offer2,Call Center,48.629646,Four-Door Car,Medsize,0,-0.02858985428259261
FW43809,Oregon,8007.399376,Yes,Basic,High School or Below,1/2/2011,Unemployed,F,0,Suburban,Divorced,112,12,93,0,3,Personal Auto,Personal L2,Offer1,Web,537.6,Sports Car,Medsize,0,0.448320284921318
CV86445,Arizona,8139.525579000001,No,Basic,High School or Below,1/12/2011,Employed,M,86876,Rural,Married,68,9,3,0,2,Personal Auto,Personal L3,Offer4,Call Center,118.81036100000001,Four-Door Car,Medsize,0,0.4749161901312123
XW54288,California,3732.3450119999998,No,Extended,Bachelor,2/10/2011,Employed,M,35461,Rural,Married,95,26,57,1,1,Corporate Auto,Corporate L3,Offer1,Agent,9.214343,Four-Door Car,Medsize,0,-0.412212584793317
GG20671,Nevada,15673.136209999999,No,Extended,College,1/1/2011,Employed,M,43267,Suburban,Married,78,8,10,0,2,Special Auto,Special L2,Offer4,Agent,453.073096,Four-Door Car,Large,0,1.9913693211602401
PJ13204,California,3301.5189609999998,No,Extended,High School or Below,1/25/2011,Unemployed,F,0,Suburban,Married,89,10,83,0,1,Corporate Auto,Corporate L3,Offer1,Call Center,427.2,Two-Door Car,Large,0,-0.49893428385212546
LO37570,Arizona,12157.5413,No,Extended,High School or Below,1/7/2011,Employed,M,40432,Suburban,Married,77,21,66,0,2,Personal Auto,Personal L3,Offer3,Agent,369.6,Four-Door Car,Medsize,0,1.2837093198904967
XK20264,Washington,9227.945752,No,Extended,High School or Below,2/28/2011,Unemployed,F,0,Urban,Married,82,22,62,0,2,Personal Auto,Personal L3,Offer1,Call Center,296.637382,Two-Door Car,Medsize,0,0.6940061139493104
XY36764,California,2771.0450309999997,Yes,Basic,College,1/11/2011,Employed,F,50071,Rural,Single,71,3,32,0,1,Personal Auto,Personal L2,Offer2,Agent,18.918935,Two-Door Car,Medsize,0,-0.6057142717595962
SB64873,Oregon,8200.78728,No,Basic,Doctor,2/13/2011,Employed,M,25381,Suburban,Single,71,22,62,0,2,Personal Auto,Personal L2,Offer2,Branch,340.8,Four-Door Car,Medsize,0,0.487247660769121
GH49378,California,5059.325681,No,Basic,Bachelor,2/18/2011,Employed,F,67371,Rural,Married,63,25,14,0,3,Personal Auto,Personal L3,Offer2,Web,86.599774,Four-Door Car,Medsize,0,-0.14510241824984976
XB30904,Arizona,5876.373893999999,No,Basic,High School or Below,2/9/2011,Employed,M,97026,Rural,Married,73,30,66,0,3,Personal Auto,Personal L3,Offer2,Call Center,97.417808,Two-Door Car,Medsize,0,0.019362588171786353
IW87075,Arizona,7280.300642,No,Basic,Bachelor,2/5/2011,Employed,M,32627,Rural,Single,67,14,53,4,2,Personal Auto,Personal L3,Offer1,Call Center,54.628741000000005,Four-Door Car,Medsize,0,0.30196136013106983
VA77345,Oregon,3531.039178,No,Extended,College,2/25/2011,Employed,F,26884,Urban,Married,89,11,84,0,1,Special Auto,Special L2,Offer4,Call Center,238.132215,Four-Door Car,Medsize,0,-0.4527337740631145
